metric,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p
mtld,0.08112486743225639,0.9482974881122186,0.5,0.6666666666666667,0.33333333333333337,1.0
hdd,0.5732556669600647,0.6113603690539281,0.5,0.6666666666666667,0.33333333333333337,1.0
shannon_entropy,0.36802393308982495,0.7600688929569793,0.5,0.6666666666666667,0.33333333333333337,1.0
mean_sentence_length,0.1815506066257382,0.8837767633956144,0.5,0.6666666666666667,0.33333333333333337,1.0
lexical_density,0.09127141506302691,0.9418138346555266,0.5,0.6666666666666667,0.33333333333333337,1.0
flesch_reading_ease,-0.7033088971749156,0.5034101796225539,-0.5,0.6666666666666667,-0.33333333333333337,1.0
