metric,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p
mtld,0.9903749261186963,0.08839874839933756,1.0,0.0,1.0,0.3333333333333333
hdd,-0.9816193247616266,0.12224843935623025,-1.0,0.0,-1.0,0.3333333333333333
shannon_entropy,-0.97537805710968,0.14156354461133402,-1.0,0.0,-1.0,0.3333333333333333
mean_sentence_length,0.9815138280584919,0.12259984773867001,1.0,0.0,1.0,0.3333333333333333
lexical_density,0.9771810600315283,0.13626118939432255,1.0,0.0,1.0,0.3333333333333333
flesch_reading_ease,-0.9943063599727555,0.06796673362853463,-1.0,0.0,-1.0,0.3333333333333333
