metric,f_statistic,p_value,eta_squared,interpretation
mtld,4561.697687481532,0.0,0.29379703136484264,Significant
hdd,1130.0271178419903,0.0,0.09342906856116512,Significant
shannon_entropy,1445.293908568951,0.0,0.11645928123999034,Significant
mean_sentence_length,4361.781055217873,0.0,0.28458559168449965,Significant
lexical_density,29.471732117156453,1.6510481548733072e-13,0.002680595560682099,Significant
flesch_reading_ease,668.179532246,2.048345918337716e-282,0.05743739537363116,Significant
