metric,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p
mtld,0.7556805837027226,0.45461251940521685,0.5,0.6666666666666667,0.33333333333333337,1.0
hdd,,,,,,
shannon_entropy,,,,,,
mean_sentence_length,0.8149473681888153,0.39353157658119775,0.5,0.6666666666666667,0.33333333333333337,1.0
lexical_density,0.7400761841067808,0.46957882565345577,0.5,0.6666666666666667,0.33333333333333337,1.0
flesch_reading_ease,-0.9108264775957573,0.2708909375665503,-1.0,0.0,-1.0,0.3333333333333333
