metric,f_statistic,p_value,eta_squared,interpretation
mtld,31.63209476308312,1.9330823596852418e-14,0.0034746675210302475,Significant
hdd,,,0.0,Not significant
shannon_entropy,,,0.0,Not significant
mean_sentence_length,21.924254990302863,3.0896117965830603e-10,0.002410868440901383,Significant
lexical_density,5.097148622077902,0.0061229135286320156,0.0005615395030614002,Significant
flesch_reading_ease,22.340711982313515,2.039290583955009e-10,0.0024565510233058876,Significant
