metric,f_statistic,p_value,eta_squared,interpretation
mtld,1837.5861725237876,0.0,0.18969441788758032,Significant
hdd,274.5706725890244,6.217690274454699e-118,0.03379717922880628,Significant
shannon_entropy,331.53355589745973,9.429062261906843e-142,0.04052465420564366,Significant
mean_sentence_length,1202.0272908987763,0.0,0.1327982838992672,Significant
lexical_density,210.054465193518,9.413795758875184e-91,0.02606278871874286,Significant
flesch_reading_ease,531.8166353957872,3.332262424607467e-224,0.06345263620632449,Significant
