metric,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p
mtld,0.5678638226509832,0.6155400272617974,0.5,0.6666666666666667,0.33333333333333337,1.0
hdd,-0.5386980318946633,0.6378327539295842,-0.5,0.6666666666666667,-0.33333333333333337,1.0
shannon_entropy,-0.49658773935974576,0.6691721970440545,-0.5,0.6666666666666667,-0.33333333333333337,1.0
mean_sentence_length,0.6676398724864996,0.5346092296838978,0.5,0.6666666666666667,0.33333333333333337,1.0
lexical_density,0.5609999461849313,0.6208335674885852,0.5,0.6666666666666667,0.33333333333333337,1.0
flesch_reading_ease,-0.6951087537836569,0.5107123987355693,-0.5,0.6666666666666667,-0.33333333333333337,1.0
